studyName;Sample Number;Species;Region;Island;Stage;Individual ID;Clutch Completion;Date Egg;Culmen Length (mm);Culmen Depth (mm);Flipper Length (mm);Body Mass (g);Sex;Delta 15 N (o/oo);Delta 13 C (o/oo);Comments
PAL0708;1;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N1A1;Yes;11/11/2007;39.1;18.7;181;3750;MALE;;;Not enough blood for isotopes.
PAL0708;2;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N1A2;Yes;11/11/2007;39.5;17.4;186;3800;FEMALE;894.956;-2.469.454;
PAL0708;3;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N2A1;Yes;11/16/07;40.3;18;195;3250;FEMALE;836.821;-2.533.302;
PAL0708;4;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N2A2;Yes;11/16/07;;;;;;;;Adult not sampled.
PAL0708;5;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N3A1;Yes;11/16/07;36.7;19.3;193;3450;FEMALE;876.651;-2.532.426;
PAL0708;6;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N3A2;Yes;11/16/07;39.3;20.6;190;3650;MALE;866.496;-2.529.805;
PAL0708;7;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N4A1;No;11/15/07;38.9;17.8;181;3625;FEMALE;918.718;-2.521.799;Nest never observed with full clutch.
PAL0708;8;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N4A2;No;11/15/07;39.2;19.6;195;4675;MALE;94.606;-2.489.958;Nest never observed with full clutch.
PAL0708;9;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N5A1;Yes;11/09/2007;34.1;18.1;193;3475;;;;No blood sample obtained.
PAL0708;10;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N5A2;Yes;11/09/2007;42;20.2;190;4250;;913.362;-2.509.368;No blood sample obtained for sexing.
PAL0708;11;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N6A1;Yes;11/09/2007;37.8;17.1;186;3300;;863.243;-2.521.315;No blood sample obtained for sexing.
PAL0708;12;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N6A2;Yes;11/09/2007;37.8;17.3;180;3700;;;;No blood sample obtained.
PAL0708;13;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N7A1;Yes;11/15/07;41.1;17.6;182;3200;FEMALE;;;Not enough blood for isotopes.
PAL0708;14;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N7A2;Yes;11/15/07;38.6;21.2;191;3800;MALE;;;Not enough blood for isotopes.
PAL0708;15;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N8A1;Yes;11/16/07;34.6;21.1;198;4400;MALE;855.583;-2.522.588;
PAL0708;16;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N8A2;Yes;11/16/07;36.6;17.8;185;3700;FEMALE;;;Not enough blood for isotopes.
PAL0708;17;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N9A1;Yes;11/12/2007;38.7;19;195;3450;FEMALE;918.528;-2.506.691;
PAL0708;18;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N9A2;Yes;11/12/2007;42.5;20.7;197;4500;MALE;867.538;-2.513.993;
PAL0708;19;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N10A1;Yes;11/16/07;34.4;18.4;184;3325;FEMALE;847.827;-2.523.319;
PAL0708;20;Adelie Penguin (Pygoscelis adeliae);Anvers;Torgersen;Adult, 1 Egg Stage;N10A2;Yes;11/16/07;46;21.5;194;4200;MALE;911.616;-2.477.227;
PAL0708;21;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N11A1;Yes;11/12/2007;37.8;18.3;174;3400;FEMALE;873.762;-2.509.383;
PAL0708;22;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N11A2;Yes;11/12/2007;37.7;18.7;180;3600;MALE;866.271;-250.639;
PAL0708;23;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N12A1;Yes;11/12/2007;35.9;19.2;189;3800;FEMALE;922.286;-2.503.474;
PAL0708;24;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N12A2;Yes;11/12/2007;38.2;18.1;185;3950;MALE;843.423;-2.522.664;
PAL0708;25;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N13A1;Yes;11/10/2007;38.8;17.2;180;3800;MALE;963.954;-2.529.856;
PAL0708;26;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N13A2;Yes;11/10/2007;35.3;18.9;187;3800;FEMALE;921.292;-243.613;
PAL0708;27;Adelie Penguin (Pygoscelis adeliae);Anvers;Biscoe;Adult, 1 Egg Stage;N17A1;Yes;11/12/2007;40.6;18.6;183;3550;MALE;893.997;-2.536.288;
